#filename 	 count 	 d1[um] 	 d2[um]
1 	 51 	 77.908 	 207.216 
2 (1) 	 51 	 81.803 	 243.319 
2 (2) 	 51 	 99.190 	 24.037 
2 (3) 	 51 	 131.398 	 40.094 
2 (4) 	 51 	 149.070 	 36.579 
2 (5) 	 51 	 42.089 	 324.932 
2 (6) 	 51 	 83.893 	 237.334 
2 (7) 	 51 	 82.943 	 239.519 
CAR12_+4cm_HzHx_Hxminus60V_35V_20nsx1_000_003 	 51 	 99.190 	 24.037 
CAR12_+4cm_HzHx_Hxminus60V_38V_20nsx1_000_000 	 51 	 131.398 	 40.094 
CAR12_+4cm_HzHx_Hxminus60V_41V_20nsx1_000_000 	 51 	 149.070 	 36.579 
CAR12_+4cm_HzHx_Hxminus60V_44V_20nsx1_000_000 	 51 	 176.908 	 34.868 
CAR12_+4cm_HzHx_Hxminus60V_47V_20nsx1_000_000 	 51 	 196.005 	 41.424 
CAR12_+4cm_HzHx_Hxminus60V_50V_20nsx1_000_000 	 51 	 215.387 	 39.524 
CAR12_+4cm_HzHx_Hxminus60V_53V_20nsx1_000_000 	 51 	 231.633 	 43.989 
CAR12_+4cm_HzHx_Hxminus60V_56V_20nsx1_000_000 	 51 	 242.654 	 41.709 
CAR12_+4cm_HzHx_Hxminus60V_59V_20nsx1_000_000 	 51 	 260.231 	 43.514 
CAR12_+4cm_HzHx_Hxminus60V_62V_20nsx1_000_000 	 51 	 272.772 	 44.559 
CAR12_+4cm_HzHx_Hxminus60V_65V_20nsx1_000_000 	 51 	 282.368 	 47.885 
CAR12_+4cm_HzHx_Hxminus60V_68V_20nsx1_000_000 	 51 	 284.648 	 47.885 
CAR12_+4cm_HzHx_Hxminus60V_71V_20nsx1_000_000 	 51 	 290.824 	 46.840 
CAR12_+4cm_HzHx_Hxminus60V_74V_20nsx1_000_000 	 51 	 297.190 	 47.695 
CAR12_+4cm_HzHx_Hxminus60V_77V_20nsx1_000_000 	 51 	 300.135 	 44.559 
CAR12_+4cm_HzHx_Hxminus60V_80V_20nsx1_000_000 	 51 	 305.931 	 49.785 
CAR12_3.5cm_Hz100V_Hx60V_20nsx1_000 	 51 	 42.089 	 324.932 
